Czestotliwosc [Hz] - sensor1	Amplituda - sensor1	Czestotliwosc [Hz] - sensor2	Amplituda - sensor2	
10	0.272338	10	0.304774	
20	0.27169	20	0.251579	
30	0.273636	30	0.252228	
40	0.273636	40	0.252877	
50	0.27396	50	0.252877	
60	0.273636	60	0.252228	
70	0.271365	70	0.251904	
80	0.271041	80	0.249633	
90	0.270716	90	0.250282	
100	0.272338	100	0.249958	
110	0.271365	110	0.251579	
120	0.273311	120	0.253201	
130	0.272014	130	0.250606	
140	0.270392	140	0.247363	
150	0.265851	150	0.24639	
160	0.265851	160	0.243795	
170	0.264878	170	0.24347	
180	0.263905	180	0.242822	
190	0.264878	190	0.2412	
200	0.264229	200	0.240876	
210	0.262608	210	0.238929	
220	0.263581	220	0.237632	
230	0.269095	230	0.237956	
240	0.280123	240	0.237308	
250	0.316775	250	0.238929	
260	0.326506	260	0.241849	
270	0.325208	270	0.23601	
280	0.284339	280	0.236335	
290	0.330074	290	0.239254	
300	0.345967	300	0.239903	
310	0.346616	310	0.236335	
320	0.268446	320	0.229847	
330	0.257742	330	0.226928	
340	0.240876	340	0.216224	
350	0.238281	350	0.210062	
360	0.236983	360	0.208764	
370	0.236659	370	0.208764	
380	0.247038	380	0.220117	
390	0.250606	390	0.220765	
400	0.254823	400	0.224333	
410	0.258715	410	0.225306	
420	0.268122	420	0.227901	
430	0.299909	430	0.230821	
440	0.308017	440	0.230821	
450	0.321316	450	0.225306	
460	0.414082	460	0.237632	
470	0.407271	470	0.235362	
480	0.335263	480	0.231145	
490	0.361861	490	0.234388	
500	0.386512	500	0.242173	
510	0.363807	510	0.238281	
520	0.340778	520	0.233415	
530	0.294719	530	0.22336	
540	0.280123	540	0.222712	
550	0.285637	550	0.221739	
560	0.325208	560	0.222387	
570	0.486089	570	0.222712	
580	0.524363	580	0.228874	
590	0.490955	590	0.227253	
600	0.283691	600	0.209413	
610	0.278177	610	0.206494	
620	0.271365	620	0.203899	
630	0.275906	630	0.199358	
640	0.310288	640	0.201628	
650	0.343372	650	0.2159	
660	0.342399	660	0.2159	
670	0.245092	670	0.20325	
680	0.26131	680	0.199034	
690	0.305098	690	0.202602	
700	0.448464	700	0.213305	
710	0.577882	710	0.22109	
720	0.556475	720	0.217198	
730	0.384566	730	0.204223	
740	0.342075	740	0.198709	
750	0.303476	750	0.194817	
760	0.288232	760	0.194168	
770	0.279798	770	0.192871	
780	0.278501	780	0.191898	
790	0.275582	790	0.192871	
800	0.276231	800	0.192222	
810	0.281745	810	0.192546	
820	0.285637	820	0.192546	
830	0.300557	830	0.194817	
840	0.310937	840	0.201628	
850	0.307369	850	0.202602	
860	0.26877	860	0.196763	
870	0.244119	870	0.191249	
880	0.254823	880	0.189627	
890	0.274933	890	0.190276	
900	0.305423	900	0.194493	
910	0.363158	910	0.200655	
920	0.489009	920	0.218171	
930	0.495496	930	0.220441	
940	0.37224	940	0.210386	
950	0.333966	950	0.19352	
960	0.325533	960	0.190276	
970	0.322614	970	0.187357	
980	0.343697	980	0.184113	
990	0.340453	990	0.180545	
1000	0.267473	1000	0.178923	
1010	0.243795	1010	0.179897	
1020	0.244444	1020	0.179572	
1030	0.256769	1030	0.175356	
1040	0.289205	1040	0.172436	
1050	0.356671	1050	0.171463	
1060	0.374511	1060	0.168868	
1070	0.354725	1070	0.164976	
1080	0.287259	1080	0.176004	
1090	0.249633	1090	0.175031	
1100	0.23374	1100	0.167895	
1110	0.225955	1110	0.16822	
1120	0.216549	1120	0.16822	
1130	0.207143	1130	0.166598	
1140	0.195466	1140	0.160111	
1150	0.1906	1150	0.158813	
1160	0.188005	1160	0.160111	
1170	0.192546	1170	0.161408	
1180	0.194493	1180	0.16303	
1190	0.196439	1190	0.166922	
1200	0.204548	1200	0.169841	
1210	0.213954	1210	0.171139	
1220	0.219792	1220	0.175031	
1230	0.242173	1230	0.176004	
1240	0.294719	1240	0.19352	
1250	0.399486	1250	0.235037	
1260	0.405973	1260	0.235686	
1270	0.340129	1270	0.201628	
1280	0.278501	1280	0.182491	
1290	0.242173	1290	0.170166	
1300	0.218495	1300	0.166598	
1310	0.24639	1310	0.169517	
1320	0.355698	1320	0.167895	
1330	0.360888	1330	0.163679	
1340	0.300882	1340	0.146488	
1350	0.254174	1350	0.138054	
1360	0.229199	1360	0.133838	
1370	0.210386	1370	0.131567	
1380	0.209413	1380	0.131243	
1390	0.204872	1390	0.131243	
1400	0.196439	1400	0.131567	
1410	0.201304	1410	0.130919	
1420	0.225955	1420	0.127999	
1430	0.235686	1430	0.126053	
1440	0.232118	1440	0.126378	
1450	0.245417	1450	0.131892	
1460	0.253201	1460	0.141298	
1470	0.248336	1470	0.144217	
1480	0.216224	1480	0.138054	
1490	0.195466	1490	0.133513	
1500	0.205845	1500	0.133513	
1510	0.215251	1510	0.133513	
1520	0.218819	1520	0.132216	
1530	0.22628	1530	0.134811	
